,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,opp_eFG%,opp_TOV%,opp_DRB%,opp_FT/FGA
19,Detroit Pistons_16,25.4,37.0,45.0,38,44,-1.12,-0.17,-1.29,106.0,107.1,-1.1,95.0,0.218,0.263,0.521,0.492,10.9,24.1,0.157,0.516,12.1,81.2,0.197
20,Minnesota Timberwolves_16,24.0,31.0,51.0,38,44,-1.11,0.47,-0.64,110.8,112.0,-1.2,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.229,0.535,13.2,75.9,0.212
21,New Orleans Pelicans_16,25.7,34.0,48.0,35,47,-2.1,0.41,-1.69,105.2,107.4,-2.2,98.0,0.256,0.308,0.539,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177
22,Dallas Mavericks_16,27.6,33.0,49.0,33,49,-2.93,0.4,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218
23,New York Knicks_16,27.3,31.0,51.0,31,51,-3.67,-0.2,-3.87,107.7,111.5,-3.8,96.0,0.239,0.279,0.534,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214
24,Sacramento Kings_16,27.9,32.0,50.0,31,51,-3.88,0.58,-3.29,107.3,111.3,-4.0,94.9,0.284,0.291,0.556,0.516,13.7,21.0,0.22,0.528,12.9,76.3,0.227
25,Phoenix Suns_16,25.0,24.0,58.0,27,55,-5.63,0.49,-5.14,106.6,112.2,-5.6,100.3,0.297,0.255,0.538,0.493,13.4,26.0,0.231,0.525,13.1,76.4,0.264
26,Philadelphia ers_16,24.6,28.0,54.0,26,56,-5.7,-0.14,-5.83,103.2,108.9,-5.7,98.5,0.258,0.349,0.539,0.501,14.9,22.4,0.199,0.512,13.5,75.3,0.234
27,Brooklyn Nets_16,26.0,20.0,62.0,24,58,-6.73,-0.01,-6.74,104.1,110.7,-6.6,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212
28,Orlando Magic_16,25.3,29.0,53.0,24,58,-6.57,-0.04,-6.61,103.7,110.5,-6.8,96.8,0.246,0.3,0.524,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201
29,Los Angeles Lakers_16,25.1,26.0,56.0,24,58,-6.88,0.58,-6.29,106.0,113.0,-7.0,98.5,0.259,0.295,0.537,0.501,13.5,25.0,0.195,0.542,13.0,75.8,0.213
0,San Antonio Spurs_15,30.3,67.0,15.0,67,15,10.63,-0.36,10.28,110.3,99.0,11.3,93.8,0.246,0.223,0.564,0.526,12.4,23.0,0.197,0.477,14.1,79.1,0.182
1,Golden State Warriors_15,27.4,73.0,9.0,65,17,10.76,-0.38,10.38,114.5,103.8,10.7,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.208
2,Oklahoma City Thunder_15,25.8,55.0,27.0,59,23,7.28,-0.19,7.09,113.1,105.6,7.5,96.7,0.292,0.275,0.565,0.524,14.0,31.1,0.228,0.484,11.7,76.0,0.205
3,Cleveland Cavaliers_15,28.1,57.0,25.0,57,25,6.0,-0.55,5.45,110.9,104.5,6.4,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205
4,Toronto Raptors_15,26.3,56.0,26.0,53,29,4.5,-0.42,4.08,110.0,105.2,4.8,92.9,0.328,0.287,0.552,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201
5,Los Angeles Clippers_15,29.7,53.0,29.0,53,29,4.28,-0.15,4.13,108.3,103.8,4.5,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222
6,Atlanta Hawks_15,28.2,48.0,34.0,51,31,3.61,-0.12,3.49,105.1,101.4,3.7,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194
7,Boston Celtics_15,25.2,48.0,34.0,50,32,3.21,-0.37,2.84,106.8,103.6,3.2,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231
8,Charlotte Hornets_15,26.0,48.0,34.0,49,33,2.72,-0.36,2.36,107.1,104.3,2.8,95.7,0.28,0.348,0.545,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191
9,Utah Jazz_15,24.2,40.0,42.0,46,36,1.79,0.05,1.84,105.9,103.9,2.0,91.0,0.286,0.297,0.54,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21
10,Miami Heat_15,28.4,48.0,34.0,46,36,1.65,-0.14,1.5,106.1,104.4,1.7,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196
11,Indiana Pacers_15,26.9,45.0,37.0,46,36,1.71,-0.09,1.62,104.6,102.9,1.7,96.6,0.268,0.27,0.536,0.497,13.5,23.4,0.205,0.489,14.3,76.0,0.205
12,Portland Trail Blazers_15,24.3,44.0,38.0,43,39,0.83,0.15,0.98,108.8,108.0,0.8,96.0,0.268,0.332,0.548,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225
13,Detroit Pistons_15,25.0,44.0,38.0,43,39,0.61,-0.18,0.43,106.1,105.5,0.6,95.1,0.296,0.303,0.522,0.491,12.2,27.0,0.197,0.504,12.5,79.3,0.196
14,Houston Rockets_15,27.8,41.0,41.0,42,40,0.2,0.14,0.34,108.3,108.1,0.2,97.6,0.352,0.37,0.553,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.219
15,Dallas Mavericks_15,30.3,42.0,40.0,40,42,-0.3,0.29,-0.02,106.7,107.0,-0.3,94.3,0.265,0.339,0.544,0.502,12.0,20.6,0.211,0.504,12.8,76.2,0.198
16,Washington Wizards_15,27.3,41.0,41.0,40,42,-0.5,0.0,-0.5,105.3,105.8,-0.5,98.5,0.263,0.282,0.544,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218
17,Chicago Bulls_15,27.6,42.0,40.0,37,45,-1.48,0.01,-1.46,105.0,106.5,-1.5,95.7,0.24,0.244,0.526,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182
18,Orlando Magic_15,23.9,35.0,47.0,36,46,-1.62,-0.06,-1.68,105.1,106.8,-1.7,96.0,0.232,0.255,0.533,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215
19,Sacramento Kings_15,26.6,33.0,49.0,34,48,-2.48,0.16,-2.32,106.0,108.4,-2.4,100.0,0.295,0.26,0.546,0.51,14.2,23.9,0.214,0.521,14.0,74.9,0.202
20,Memphis Grizzlies_15,30.5,42.0,40.0,35,47,-2.24,0.11,-2.14,105.4,107.8,-2.4,93.3,0.295,0.222,0.524,0.477,12.3,25.3,0.231,0.518,15.2,75.1,0.251
21,New York Knicks_15,27.2,32.0,50.0,33,49,-2.73,0.0,-2.74,104.6,107.6,-3.0,93.4,0.255,0.256,0.527,0.483,12.6,23.7,0.205,0.487,10.5,75.8,0.204
22,Denver Nuggets_15,24.7,33.0,49.0,33,49,-3.1,0.29,-2.81,105.6,108.9,-3.3,95.7,0.282,0.277,0.531,0.489,13.2,25.8,0.216,0.515,12.6,77.3,0.216
23,Minnesota Timberwolves_15,24.6,29.0,53.0,31,51,-3.54,0.15,-3.38,106.5,110.1,-3.6,95.2,0.332,0.202,0.549,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2
24,New Orleans Pelicans_15,26.6,30.0,52.0,31,51,-3.79,0.24,-3.56,105.6,109.5,-3.9,96.8,0.259,0.277,0.537,0.498,12.3,21.2,0.201,0.523,12.7,78.8,0.225
25,Milwaukee Bucks_15,23.5,33.0,49.0,29,53,-4.18,0.2,-3.98,104.3,108.7,-4.4,94.2,0.276,0.189,0.537,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221
26,Phoenix Suns_15,26.0,23.0,59.0,24,58,-6.66,0.34,-6.32,102.2,109.0,-6.8,98.5,0.271,0.302,0.526,0.487,15.2,25.4,0.204,0.523,13.5,77.1,0.237
27,Brooklyn Nets_15,26.9,21.0,61.0,22,60,-7.35,0.24,-7.12,103.2,110.9,-7.7,95.2,0.246,0.218,0.527,0.492,13.6,24.1,0.186,0.534,13.1,75.7,0.176
